Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2022-02-09 00:00:00+00:00,3116.69,3269.7,3055.0,3243.94,370267.8913,1171445663.964222,738015,200069.2719,633521333.368431
2022-02-10 00:00:00+00:00,3243.6,3283.66,3056.74,3072.49,578212.8383,1839815885.635639,1039160,294389.9508,937496491.538538
2022-02-11 00:00:00+00:00,3072.36,3138.62,2879.0,2927.54,462025.8751,1404238408.517842,912879,225347.5191,685621003.996612
2022-02-12 00:00:00+00:00,2927.54,2985.98,2858.3,2918.88,336250.3131,981432045.703354,608416,165039.9186,481542585.224781
2022-02-13 00:00:00+00:00,2918.58,2954.4,2836.7,2871.13,242751.3547,705260941.483037,444540,120559.5578,350481622.861807
2022-02-14 00:00:00+00:00,2871.14,2964.97,2829.01,2929.75,381778.238,1107566192.889658,607853,194221.8781,563663360.651539
2022-02-15 00:00:00+00:00,2929.75,3196.19,2912.06,3183.52,448971.754,1381094746.210811,795924,237944.8724,732387823.956892
2022-02-16 00:00:00+00:00,3183.53,3186.77,3044.03,3122.3,319997.6244,999219896.168787,633447,155323.1493,485323462.455795
2022-02-17 00:00:00+00:00,3122.31,3160.0,2851.55,2891.87,488693.2624,1467352492.887897,840552,233828.0428,702011907.690017
2022-02-18 00:00:00+00:00,2891.88,2943.97,2750.0,2779.48,502977.4069,1428246802.953186,742459,249635.4651,708728873.886389
2022-02-19 00:00:00+00:00,2779.3,2830.96,2694.45,2763.63,293838.0025,812399991.55453,474447,141892.3022,392252672.874323
2022-02-20 00:00:00+00:00,2763.63,2764.64,2576.0,2621.99,386384.904,1023095361.857724,615990,179982.3854,476410884.46124
2022-02-21 00:00:00+00:00,2621.99,2759.51,2558.0,2568.02,761838.9858,2030019705.147237,1116485,375450.9358,1001341576.758087
2022-02-22 00:00:00+00:00,2568.03,2665.74,2500.0,2636.29,692639.4942,1787436157.608267,1047915,350929.3036,905871370.400486
2022-02-23 00:00:00+00:00,2636.28,2753.55,2575.83,2579.71,504470.1412,1347740672.085344,839481,248657.1745,664765649.80641
